#   Navg =  3.000E+00
# Lambda =  1.404E+00
#      A =  0.000E+00
#     ar =  1.621E+01
#     br =  1.088E+01
#     rb =  3.333E-07
#    rb1 =  3.333E-07
# r_core =  5.527E+00
#     nb = 0
# Mean configuration:
#  1 -1	 2.000E+00
#  2 -1	 3.333E-01
#  2  1	 3.333E-01
#  2 -2	 3.333E-01


  150 1.73714028E-01 -1.72698E+01 -1.47781E+01  3.21175E-01  4.88632E-01  1.89280E+00
  151 1.86279081E-01 -1.61049E+01 -1.36342E+01  3.11487E-01  5.18266E-01  2.02504E+00
  152 1.99635556E-01 -1.50274E+01 -1.25787E+01  3.00226E-01  5.48782E-01  2.15469E+00
  153 2.13822793E-01 -1.40303E+01 -1.16047E+01  2.87666E-01  5.80157E-01  2.27970E+00
  154 2.28881269E-01 -1.31072E+01 -1.07058E+01  2.73504E-01  6.12236E-01  2.39787E+00
  155 2.44852584E-01 -1.22523E+01 -9.87617E+00  2.58037E-01  6.44976E-01  2.50696E+00
  156 2.61779432E-01 -1.14600E+01 -9.11034E+00  2.41033E-01  6.78198E-01  2.60469E+00
  157 2.79705581E-01 -1.07256E+01 -8.40341E+00  2.22806E-01  7.11839E-01  2.68885E+00
  158 2.98675837E-01 -1.00443E+01 -7.75084E+00  2.03214E-01  7.45706E-01  2.75735E+00
  159 3.18736023E-01 -9.41218E+00 -7.14846E+00  1.82575E-01  7.79722E-01  2.80835E+00
  160 3.39932933E-01 -8.82527E+00 -6.59243E+00  1.60857E-01  8.13695E-01  2.84024E+00
  161 3.62314307E-01 -8.28010E+00 -6.07925E+00  1.38367E-01  8.47534E-01  2.85181E+00
  162 3.85928782E-01 -7.77345E+00 -5.60565E+00  1.15191E-01  8.81073E-01  2.84225E+00
  163 4.10825861E-01 -7.30236E+00 -5.16866E+00  9.16077E-02  9.14215E-01  2.81123E+00
  164 4.37055862E-01 -6.86411E+00 -4.76553E+00  6.78163E-02  9.46837E-01  2.75892E+00
  165 4.64669881E-01 -6.45620E+00 -4.39371E+00  4.40594E-02  9.78846E-01  2.68602E+00
  166 4.93719740E-01 -6.07632E+00 -4.05088E+00  2.06314E-02  1.01019E+00  2.59372E+00
  167 5.24257946E-01 -5.72237E+00 -3.73486E+00 -2.27004E-03  1.04078E+00  2.48374E+00
  168 5.56337639E-01 -5.39241E+00 -3.44367E+00 -2.42781E-02  1.07065E+00  2.35820E+00
  169 5.90012546E-01 -5.08464E+00 -3.17544E+00 -4.52420E-02  1.09975E+00  2.21964E+00
  170 6.25336931E-01 -4.79741E+00 -2.92848E+00 -6.47507E-02  1.12822E+00  2.07084E+00
  171 6.62365544E-01 -4.52922E+00 -2.70119E+00 -8.26935E-02  1.15605E+00  1.91482E+00
  172 7.01153575E-01 -4.27866E+00 -2.49211E+00 -9.86412E-02  1.18349E+00  1.75466E+00
  173 7.41756601E-01 -4.04445E+00 -2.29986E+00 -1.12508E-01  1.21061E+00  1.59345E+00
  174 7.84230537E-01 -3.82541E+00 -2.12320E+00 -1.23864E-01  1.23779E+00  1.43412E+00
  175 8.28631589E-01 -3.62043E+00 -1.96092E+00 -1.32626E-01  1.26522E+00  1.27942E+00
  176 8.75016205E-01 -3.42851E+00 -1.81195E+00 -1.38376E-01  1.29343E+00  1.13177E+00
  177 9.23441025E-01 -3.24872E+00 -1.67526E+00 -1.41015E-01  1.32278E+00  9.93233E-01
  178 9.73962837E-01 -3.08020E+00 -1.54991E+00 -1.40153E-01  1.35394E+00  8.65454E-01
  179 1.02663853E+00 -2.92216E+00 -1.43500E+00 -1.35694E-01  1.38746E+00  7.49625E-01
  180 1.08152505E+00 -2.77386E+00 -1.32973E+00 -1.27357E-01  1.42413E+00  6.46490E-01
  181 1.13867936E+00 -2.63463E+00 -1.23331E+00 -1.15177E-01  1.46450E+00  5.56355E-01
  182 1.19815838E+00 -2.50384E+00 -1.14505E+00 -9.92117E-02  1.50917E+00  4.79122E-01
  183 1.26001898E+00 -2.38092E+00 -1.06428E+00 -7.99671E-02  1.55822E+00  4.14340E-01
  184 1.32431790E+00 -2.26532E+00 -9.90381E-01 -5.82334E-02  1.61130E+00  3.61262E-01
  185 1.39111175E+00 -2.15655E+00 -9.22780E-01 -3.53490E-02  1.66714E+00  3.18914E-01
  186 1.46045696E+00 -2.05415E+00 -8.60945E-01 -1.29328E-02  1.72374E+00  2.86166E-01
  187 1.53240972E+00 -1.95770E+00 -8.04383E-01  7.23218E-03  1.77844E+00  2.61798E-01
  188 1.60702599E+00 -1.86680E+00 -7.52636E-01  2.36827E-02  1.82855E+00  2.44567E-01
  189 1.68436145E+00 -1.78109E+00 -7.05283E-01  3.55324E-02  1.87190E+00  2.33254E-01
  190 1.76447145E+00 -1.70023E+00 -6.61931E-01  4.26740E-02  1.90734E+00  2.26709E-01
  191 1.84741103E+00 -1.62389E+00 -6.22220E-01  4.56322E-02  1.93481E+00  2.23875E-01
  192 1.93323483E+00 -1.55180E+00 -5.85819E-01  4.53251E-02  1.95510E+00  2.23808E-01
  193 2.02199714E+00 -1.48368E+00 -5.52424E-01  4.27642E-02  1.96947E+00  2.25682E-01
  194 2.11375180E+00 -1.41928E+00 -5.21754E-01  3.88619E-02  1.97929E+00  2.28787E-01
  195 2.20855225E+00 -1.35836E+00 -4.93554E-01  3.43318E-02  1.98578E+00  2.32526E-01
  196 2.30645146E+00 -1.30070E+00 -4.67592E-01  2.96762E-02  1.98997E+00  2.36404E-01
  197 2.40750193E+00 -1.24610E+00 -4.43654E-01  2.52150E-02  1.99261E+00  2.40021E-01
  198 2.51175566E+00 -1.19438E+00 -4.21548E-01  2.11290E-02  1.99425E+00  2.43058E-01
  199 2.61926418E+00 -1.14536E+00 -4.01099E-01  1.75034E-02  1.99526E+00  2.45268E-01
  200 2.73007848E+00 -1.09887E+00 -3.82149E-01  1.43598E-02  1.99591E+00  2.46470E-01
  201 2.84424901E+00 -1.05476E+00 -3.64555E-01  1.16834E-02  1.99635E+00  2.46538E-01
  202 2.96182571E+00 -1.01289E+00 -3.48188E-01  9.43727E-03  1.99668E+00  2.45395E-01
